#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP
444,Nate Jones,CIN,RP,R,13.2,0.0,0.0,51.4,11.9,0.6,0.6,0,2,4.29,3.59,1.35,12.1,4.8,11.2,0.6,5.8,6.2,2,43.5,33.7,20.1,0.296
445,Adam Kolarek,LAD,RP,L,16.8,0.0,0.0,50.3,11.8,0.6,0.5,0,3,3.59,3.47,1.31,9.3,3.7,11.8,0.6,4.8,5.3,1,56.3,21.3,19.8,0.302
446,Jefry Rodriguez,CLE,SP,R,4.8,1.2,0.5,52.2,11.8,0.6,0.7,0,0,4.90,4.30,1.48,9.8,5.3,12.2,0.5,6.6,7.0,2,45.5,33.8,20.7,0.298
447,Derek Law,TEX,RP,R,9.0,0.0,0.0,50.8,11.7,0.6,0.5,0,1,4.37,3.78,1.41,11.3,5.4,11.1,0.5,5.6,6.1,2,45.1,34.4,20.5,0.296
448,Jarlin Garcia,SF,RP,L,9.0,0.0,0.0,50.9,11.7,0.5,0.6,0,1,4.57,4.12,1.40,9.3,4.6,11.8,0.5,5.8,6.2,2,40.8,36.4,20.1,0.293
449,Carson Fulmer,CHW,RP,R,9.0,0.0,0.0,52.5,11.7,0.6,0.6,0,1,5.01,4.22,1.50,12.0,6.4,11.1,0.6,6.5,7.0,2,40.6,39.4,20.1,0.292
450,Alex Young,ARI,SP,L,6.6,1.2,0.5,50.1,11.5,0.6,0.7,0,1,4.46,4.05,1.39,9.8,4.3,11.7,0.5,5.7,6.2,2,44.1,32.1,21.1,0.299
451,Josh Osich,BOS,RP,L,11.4,0.0,0.0,49.4,11.4,0.6,0.5,0,2,4.44,3.80,1.37,10.6,4.2,11.5,0.4,5.8,6.2,2,43.7,35.1,21.2,0.299
452,Andrew Kittredge,TB,RP,R,11.4,0.0,0.0,47.2,11.4,0.6,0.5,0,2,3.41,2.96,1.17,12.6,3.3,10.0,0.4,4.4,4.8,1,47.2,32.3,20.5,0.294
453,Michael Rucker,CHC,RP,R,11.4,0.0,0.0,49.3,11.4,0.5,0.6,0,1,4.52,3.77,1.36,10.2,4.2,11.3,0.6,5.8,6.2,2,40.3,36.3,20.7,0.293
454,Stephen Woods Jr.,KC,RP,R,11.4,0.0,0.0,52.5,11.4,0.5,0.6,0,1,5.55,5.02,1.68,8.3,7.0,12.1,0.6,7.0,7.5,2,45.7,33.6,20.7,0.297
455,Jacob Webb,ATL,RP,R,11.4,0.0,0.0,50.4,11.4,0.5,0.6,0,2,4.60,4.10,1.45,11.2,5.5,11.0,0.5,5.9,6.3,2,40.2,36.1,21.0,0.293
456,Edgar Garcia,PHI,RP,R,11.4,0.0,0.0,50.2,11.4,0.5,0.6,0,2,4.79,3.88,1.42,12.1,5.4,10.8,0.5,6.1,6.5,2,37.1,40.3,19.9,0.285
457,Junior Fernandez,STL,RP,R,11.4,0.0,0.0,50.4,11.4,0.5,0.6,0,1,4.40,4.10,1.48,10.6,6.1,10.8,0.6,5.6,6.0,1,45.5,31.1,20.6,0.295
458,Dany Jimenez,SF,RP,R,11.4,0.0,0.0,49.4,11.4,0.5,0.6,0,1,4.22,3.87,1.38,11.1,5.3,10.4,0.5,5.2,5.6,1,42.6,34.6,20.1,0.292
459,Yohan Ramirez,SEA,RP,R,11.4,0.0,0.0,51.2,11.4,0.5,0.6,0,1,4.48,4.20,1.53,12.5,7.5,9.9,0.8,5.6,6.1,2,46.2,33.8,20.0,0.293
460,Tommy Hunter,PHI,RP,R,11.2,0.0,0.0,47.8,11.2,0.5,0.6,0,1,4.35,3.56,1.32,9.9,3.4,11.4,0.5,5.5,5.9,2,45.2,32.2,19.9,0.296
461,Paul Sewald,NYM,RP,R,9.0,0.0,0.0,46.8,10.8,0.5,0.6,0,1,4.75,3.86,1.34,10.1,3.8,10.7,0.5,5.7,6.0,2,33.8,43.3,20.2,0.286
462,Robert Stock,PHI,RP,R,9.0,0.0,0.0,46.6,10.8,0.5,0.5,0,1,3.94,3.52,1.36,11.9,4.9,9.7,0.5,4.8,5.2,1,48.1,29.3,19.9,0.297
463,Nestor Cortes,SEA,RP,L,9.0,0.0,0.0,46.4,10.8,0.5,0.5,0,1,4.42,3.70,1.32,10.6,4.1,10.2,0.4,5.3,5.6,2,37.1,42.9,20.0,0.283
464,Bryan Shaw,COL,RP,R,12.0,0.0,0.0,48.2,10.8,0.5,0.6,0,2,5.10,4.14,1.54,8.3,4.7,11.9,0.4,6.2,6.6,2,46.5,28.8,22.0,0.311
465,David Robertson,PHI,RP,R,10.5,0.0,0.0,44.6,10.5,0.5,0.5,0,1,3.86,3.24,1.27,12.8,4.3,9.0,0.4,4.5,4.9,1,42.2,35.2,19.9,0.291
466,Ian Anderson,ATL,SP,R,2.0,2.0,0.9,46.2,10.4,0.6,0.7,0,0,4.69,4.35,1.48,10.1,5.2,10.1,0.4,5.4,5.9,2,43.4,32.9,21.0,0.296
467,Matt Manning,DET,SP,R,2.0,2.0,0.8,46.0,10.4,0.5,0.7,0,0,5.07,4.33,1.48,9.0,4.6,10.8,0.4,5.8,6.2,2,44.4,34.9,20.7,0.298
468,Dan Winkler,CHC,RP,R,11.4,0.0,0.0,45.7,10.3,0.5,0.5,0,2,4.80,4.14,1.48,9.5,5.1,10.1,0.5,5.6,5.9,2,39.8,36.8,20.7,0.292
469,Hector Santiago,DET,RP,L,6.0,0.0,0.0,44.8,10.2,0.5,0.5,0,1,4.97,4.00,1.42,9.7,4.4,10.0,0.4,5.6,5.9,2,32.6,46.7,20.7,0.285
470,Alex Reyes,STL,RP,R,9.0,0.0,0.0,42.8,9.9,0.5,0.5,0,1,3.97,3.60,1.37,11.3,5.2,8.4,0.4,4.4,4.7,1,39.4,37.2,20.6,0.290
471,Austin Brice,BOS,RP,R,9.0,0.0,0.0,43.3,9.9,0.5,0.5,0,1,4.63,3.88,1.38,9.2,3.5,10.1,0.6,5.2,5.6,2,42.9,35.9,21.2,0.298
472,Cody Carroll,BAL,RP,R,9.0,0.0,0.0,43.9,9.9,0.4,0.5,0,1,5.04,3.98,1.50,10.2,5.3,9.5,0.5,5.5,5.8,2,40.6,38.8,20.6,0.293
473,James Sherfy,ARI,RP,R,9.0,0.0,0.0,43.1,9.9,0.5,0.5,0,1,4.45,3.72,1.37,10.4,4.4,9.1,0.5,4.9,5.2,1,36.6,39.6,21.1,0.289
474,Austin Davis,PHI,RP,L,9.0,0.0,0.0,42.9,9.9,0.5,0.5,0,1,4.35,3.68,1.37,10.5,4.4,9.1,0.4,4.8,5.2,2,40.7,36.7,19.9,0.287
475,Phil Maton,CLE,RP,R,9.0,0.0,0.0,42.7,9.9,0.5,0.5,0,1,4.36,3.66,1.33,9.8,3.6,9.5,0.4,4.9,5.3,2,41.9,37.4,20.7,0.292
476,Wilmer Font,TOR,RP,R,7.5,0.0,0.0,41.2,9.8,0.5,0.4,0,1,4.20,3.10,1.22,11.1,3.0,8.9,0.4,4.6,4.9,2,37.9,41.6,20.4,0.289
477,Rogelio Armenteros,HOU,SP,R,4.8,1.2,0.5,42.2,9.8,0.6,0.6,0,0,4.51,3.78,1.32,9.8,3.7,9.3,0.3,5.0,5.4,2,39.7,40.2,20.1,0.289
478,Eric Skoglund,KC,SP,L,3.0,1.2,0.4,42.4,9.6,0.4,0.6,0,0,5.39,4.60,1.47,5.9,3.2,10.9,0.5,5.7,6.1,2,40.1,39.2,20.7,0.294
479,Chris Mazza,BOS,RP,R,9.1,0.1,0.0,41.1,9.5,0.5,0.4,0,1,4.29,3.81,1.35,7.6,2.7,10.1,0.5,4.6,5.0,1,49.7,29.1,21.2,0.303
480,Enyel De Los Santos,PHI,SP,R,1.8,1.8,0.7,42.0,9.5,0.5,0.7,0,0,5.23,4.39,1.46,7.9,3.9,10.0,0.5,5.6,5.9,2,40.9,36.5,19.9,0.287
